Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards
tavon-austin,2013,St.LouisRams,13,40,418,10.5,81,4,17,42.5,5,2
tavon-austin,2014,St.LouisRams,15,31,242,7.8,28,0,12,38.71,2,0
tavon-austin,2015,St.LouisRams,16,52,473,9.1,66,5,21,40.38,5,2
tavon-austin,2016,LosAngelesRams,15,58,509,8.8,43,3,25,43.1,6,1
tavon-austin,2017,LosAngelesRams,16,13,47,3.6,13,0,2,15.38,0,0
tavon-austin,2018,DallasCowboys,7,8,140,17.5,64,2,5,62.5,2,2
tavon-austin,2019,DallasCowboys,14,13,177,13.6,59,1,8,61.54,2,1
tavon-austin,2020,GreenBayPackers,4,5,20,4,7,0,1,20,0,0
tavon-austin,TOTAL,--,100,220,2026,9.2,361,15,91,41.36,22,8
antony-auclair,2017,TampaBayBuccaneers,8,2,25,12.5,14,0,2,100,0,0
antony-auclair,2018,TampaBayBuccaneers,16,7,48,6.9,12,0,1,14.29,0,0
antony-auclair,2019,TampaBayBuccaneers,8,1,11,11,11,0,1,100,0,0
antony-auclair,2020,TampaBayBuccaneers,8,0,0,0,--,0,0,0,0,0
antony-auclair,TOTAL,--,40,10,84,8.4,37,0,4,40,0,0
marcell-ateman,2018,OaklandRaiders,7,15,154,10.3,32,1,7,46.67,2,0
marcell-ateman,2019,OaklandRaiders,11,5,116,23.2,36,0,3,60,3,0
marcell-ateman,2020,LasVegasRaiders,--,--,--,--,--,--,--,--,--,--
marcell-ateman,TOTAL,--,18,20,270,13.5,68,1,10,50,5,0
devin-asiasi,2020,NewEnglandPatriots,9,2,39,19.5,26,1,2,100,1,0
devin-asiasi,TOTAL,--,9,2,39,19.5,26,1,2,100,1,0
dan-arnold,2018,NewOrleansSaints,10,12,150,12.5,25,1,9,75,4,0
dan-arnold,2019,ArizonaCardinals,5,8,127,15.9,37,2,6,75,3,0
dan-arnold,2020,ArizonaCardinals,16,31,438,14.1,59,4,24,77.42,8,2
dan-arnold,TOTAL,--,31,51,715,14,121,7,39,76.47,15,2
ryquell-armstead,2019,JacksonvilleJaguars,16,14,144,10.3,31,2,9,64.29,2,0
ryquell-armstead,2020,JacksonvilleJaguars,--,--,--,--,--,--,--,--,--,--
ryquell-armstead,TOTAL,--,16,14,144,10.3,31,2,9,64.29,2,0
alex-armah,2017,CarolinaPanthers,9,--,--,--,--,--,--,--,--,--
alex-armah,2018,CarolinaPanthers,16,1,5,5,5,0,0,0,0,0
alex-armah,2019,CarolinaPanthers,16,2,6,3,4,0,0,0,0,0
alex-armah,2020,CarolinaPanthers,16,5,18,3.6,14,0,1,20,0,0
alex-armah,TOTAL,--,57,8,29,3.6,23,0,1,12.5,0,0
j-j-arcega-whiteside,2019,PhiladelphiaEagles,16,10,169,16.9,30,1,7,70,4,0
j-j-arcega-whiteside,2020,PhiladelphiaEagles,8,4,85,21.3,37,0,4,100,2,0
j-j-arcega-whiteside,TOTAL,--,24,14,254,18.1,67,1,11,78.57,6,0
mark-andrews,2018,BaltimoreRavens,16,34,552,16.2,74,3,28,82.35,8,2
mark-andrews,2019,BaltimoreRavens,15,64,852,13.3,51,10,44,68.75,16,1
mark-andrews,2020,BaltimoreRavens,14,58,701,12.1,39,7,37,63.79,10,0
mark-andrews,TOTAL,--,45,156,2105,13.5,164,20,109,69.87,34,3
stephen-anderson,2016,HoustonTexans,13,11,93,8.5,14,1,6,54.55,0,0
stephen-anderson,2017,HoustonTexans,15,25,342,13.7,42,1,17,68,5,1
stephen-anderson,2018,NewEnglandPatriots,--,--,--,--,--,--,--,--,--,--
stephen-anderson,2019,LosAngelesChargers,1,--,--,--,--,--,--,--,--,--
stephen-anderson,2020,LosAngelesChargers,16,8,106,13.3,23,0,7,87.5,1,0
stephen-anderson,TOTAL,--,45,44,541,12.3,79,2,30,68.18,6,1
robby-anderson,2016,NewYorkJets,16,42,587,14,52,2,18,42.86,10,4
robby-anderson,2017,NewYorkJets,16,63,941,14.9,69,7,36,57.14,17,3
robby-anderson,2018,NewYorkJets,14,50,752,15,76,6,30,60,10,2
robby-anderson,2019,NewYorkJets,16,52,779,15,92,5,35,67.31,13,2
robby-anderson,2020,CarolinaPanthers,16,95,1096,11.5,75,3,49,51.58,16,2
robby-anderson,TOTAL,--,78,302,4155,13.8,364,23,168,55.63,66,13
danny-amendola,2009,St.LouisRams,14,43,326,7.6,25,1,20,46.51,1,0
danny-amendola,2010,St.LouisRams,16,85,689,8.1,36,3,35,41.18,2,0
danny-amendola,2011,St.LouisRams,1,5,45,9,18,0,3,60,0,0
danny-amendola,2012,St.LouisRams,11,63,666,10.6,56,3,38,60.32,5,2
danny-amendola,2013,NewEnglandPatriots,12,54,633,11.7,57,2,37,68.52,8,1
danny-amendola,2014,NewEnglandPatriots,16,27,200,7.4,21,1,12,44.44,1,0
danny-amendola,2015,NewEnglandPatriots,14,65,648,10,41,3,32,49.23,5,1
danny-amendola,2016,NewEnglandPatriots,12,23,243,10.6,32,4,14,60.87,1,0
danny-amendola,2017,NewEnglandPatriots,15,61,659,10.8,27,2,39,63.93,7,0
danny-amendola,2018,MiamiDolphins,15,59,575,9.8,39,1,27,45.76,4,0
danny-amendola,2019,DetroitLions,15,62,678,10.9,47,1,36,58.06,6,2
danny-amendola,2020,DetroitLions,14,46,602,13.1,50,0,30,65.22,8,1
danny-amendola,TOTAL,--,155,593,5964,10.1,449,21,323,54.47,48,7
