Player_Id,Year,Team,Games_Played,Receptions,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Receptions_Over_Twenty_Yards,Receptions_Over_Forty_Yards
arrowhead,1923,OorangIndians,4,0,0,0,0,2,0,0,0,0
arrowhead,TOTAL,--,4,0,0,0,0,2,0,0,0,0
abdul-karim-al-jabbar,1996,MiamiDolphins,16,23,139,6,23,0,6,26.09,1,0
abdul-karim-al-jabbar,1997,MiamiDolphins,16,29,261,9,36,1,10,34.48,3,0
abdul-karim-al-jabbar,1998,MiamiDolphins,15,21,102,4.9,18,0,3,14.29,0,0
abdul-karim-al-jabbar,1999,ClevelandBrowns,13,17,84,4.9,21,1,5,29.41,1,0
abdul-karim-al-jabbar,2000,IndianapolisColts,1,0,0,0,0,0,0,0,0,0
abdul-karim-al-jabbar,TOTAL,--,61,90,586,6.5,98,2,24,26.67,5,0
adger-armstrong,1980,HoustonOilers,16,0,0,0,0,0,0,0,0,0
adger-armstrong,1981,HoustonOilers,16,29,278,9.6,48,1,0,0,0,0
adger-armstrong,1982,HoustonOilers,6,12,75,6.3,14,0,0,0,0,0
adger-armstrong,1983,TampaBayBuccaneers,11,15,173,11.5,41,2,0,0,0,0
adger-armstrong,1984,TampaBayBuccaneers,15,22,180,8.2,18,3,0,0,0,0
adger-armstrong,1985,TampaBayBuccaneers,16,2,4,2,3,1,0,0,0,0
adger-armstrong,TOTAL,--,80,80,710,8.9,124,7,0,0,0,0
adrian-arrington,2010,NewOrleansSaints,1,7,79,11.3,17,0,3,42.86,0,0
adrian-arrington,2011,NewOrleansSaints,4,2,31,15.5,17,0,2,100,0,0
adrian-arrington,TOTAL,--,5,9,110,12.2,34,0,5,55.56,0,0
alan-ameche,1955,BaltimoreColts,12,27,141,5.2,0,0,0,0,0,0
alan-ameche,1956,BaltimoreColts,12,26,189,7.3,0,0,0,0,0,0
alan-ameche,1957,BaltimoreColts,12,15,137,9.1,0,2,0,0,0,0
alan-ameche,1958,BaltimoreColts,12,13,81,6.2,0,1,0,0,0,0
alan-ameche,1959,BaltimoreColts,12,13,129,9.9,0,1,0,0,0,0
alan-ameche,1960,BaltimoreColts,10,7,56,8,0,0,0,0,0,0
alan-ameche,TOTAL,--,70,101,733,7.3,0,4,0,0,0,0
alfred-anderson,1984,MinnesotaVikings,16,17,102,6,28,1,0,0,0,0
alfred-anderson,1985,MinnesotaVikings,12,16,175,10.9,54,1,0,0,0,0
alfred-anderson,1986,MinnesotaVikings,16,17,179,10.5,37,2,0,0,0,0
alfred-anderson,1987,MinnesotaVikings,10,7,69,9.9,22,0,0,0,0,0
alfred-anderson,1988,MinnesotaVikings,16,23,242,10.5,19,1,0,0,0,0
