Player_Id,Year,Team,Games_Played,Attempts,Yards,Average,Long,TDs,First_Downs,First_Down_Percentage,Rushes_Over_Twenty_Yards,Rushes_Over_Forty_Yards,Fumbles
abdul-karim-al-jabbar,1996,MiamiDolphins,16,307,1116,3.6,29,11,64,20.85,3,0,4
abdul-karim-al-jabbar,1997,MiamiDolphins,16,283,892,3.2,22,15,64,22.61,2,0,3
abdul-karim-al-jabbar,1998,MiamiDolphins,15,270,960,3.6,45,6,43,15.93,9,2,2
abdul-karim-al-jabbar,1999,ClevelandBrowns,13,143,445,3.1,21,1,20,13.99,1,0,0
abdul-karim-al-jabbar,2000,IndianapolisColts,1,1,-2,-2,-2,0,0,0,0,0,0
abdul-karim-al-jabbar,TOTAL,--,61,1004,3411,3.4,115,33,191,19.02,15,2,9
adger-armstrong,1980,HoustonOilers,16,0,0,0,0,0,0,0,0,0,0
adger-armstrong,1981,HoustonOilers,16,31,146,4.7,18,0,0,0,0,0,0
adger-armstrong,1982,HoustonOilers,6,8,15,1.9,5,0,0,0,0,0,0
adger-armstrong,1983,TampaBayBuccaneers,11,7,30,4.3,7,0,0,0,0,0,0
adger-armstrong,1984,TampaBayBuccaneers,15,10,34,3.4,9,2,0,0,0,0,0
adger-armstrong,1985,TampaBayBuccaneers,16,2,6,3,8,0,0,0,0,0,0
adger-armstrong,TOTAL,--,80,58,231,4,47,2,0,0,0,0,0
al-arndt,1935,PittsburghPirates,7,1,21,21,0,0,0,0,0,0,0
al-arndt,TOTAL,--,7,1,21,21,0,0,0,0,0,0,0
alan-ameche,1955,BaltimoreColts,12,213,961,4.5,0,9,0,0,0,0,0
alan-ameche,1956,BaltimoreColts,12,178,858,4.8,0,8,0,0,0,0,0
alan-ameche,1957,BaltimoreColts,12,144,493,3.4,0,5,0,0,0,0,0
alan-ameche,1958,BaltimoreColts,12,171,791,4.6,0,8,0,0,0,0,0
alan-ameche,1959,BaltimoreColts,12,178,679,3.8,0,7,0,0,0,0,0
alan-ameche,1960,BaltimoreColts,10,80,263,3.3,0,3,0,0,0,0,0
alan-ameche,TOTAL,--,70,964,4045,4.2,0,40,0,0,0,0,0
alfred-anderson,1984,MinnesotaVikings,16,201,773,3.9,23,2,0,0,0,0,0
alfred-anderson,1985,MinnesotaVikings,12,50,121,2.4,10,4,0,0,0,0,0
alfred-anderson,1986,MinnesotaVikings,16,83,347,4.2,29,2,0,0,0,0,0
alfred-anderson,1987,MinnesotaVikings,10,68,319,4.7,27,2,0,0,0,0,0
alfred-anderson,1988,MinnesotaVikings,16,87,300,3.5,18,7,0,0,0,0,0
alfred-anderson,1989,MinnesotaVikings,11,52,189,3.6,14,2,0,0,0,0,0
alfred-anderson,1990,MinnesotaVikings,11,59,207,3.5,14,2,0,0,0,0,0
alfred-anderson,1991,MinnesotaVikings,16,26,118,4.5,19,1,10,38.46,0,0,0
alfred-anderson,TOTAL,--,108,626,2374,3.8,154,22,10,1.6,0,0,0
anthony-allen-2,2011,BaltimoreRavens,5,3,8,2.7,3,0,0,0,0,0,0
anthony-allen-2,2012,BaltimoreRavens,16,16,61,3.8,20,1,4,25,1,0,0
anthony-allen-2,TOTAL,--,21,19,69,3.6,23,1,4,21.05,1,0,0
anthony-anderson-2,1979,PittsburghSteelers,16,18,118,6.6,31,1,0,0,0,0,0
anthony-anderson-2,1980,AtlantaFalcons,16,6,5,0.8,8,0,0,0,0,0,0
